Actors1,Actors2,Actors3,Actors4,Actors5,Actors6,Actors7,Budget,Dialogue,Director,First_Day,First_Week,First_Weekend,Genre,India_Gross,Lyrics,Music,Producer,Production_Banner,Release_Date,Runtime,Screenplay,Screens,Story,Title
Rishi Kapoor,Sanjay Dutt,Hrithik Roshan,Priyanka Chopra,Om Puri,Zarina Wahab,Sachin Khedekar,710000000,"Karan Malhotra,Ila Bedi Dutta",Karan Malhotra,217200000,813700000,457400000,Action,1639800000,Amitabh Bhattacharya,Ajay - Atul,"Karan Johar,Hiroo Johar",Dharma Productions Pvt. Ltd.,26-Jan-12,168,NA,2600,Piyush Mishra,Agneepath
Pulkit Samrat,Amita Pathak,Rajesh Bakshi,NA,NA,NA,NA,100000000,"Supavitra Babul,Gautam Mehra",Supavitra Babul,3800000,19550000,12800000,Love Story,27200000,"Aseem Ahmed Abbasi,Luv Ranjan,Kumaar",Raghav Sachar,"Abhishek Pathak,Kumar Mangat",Viacom 18 Motion Pictures,13-Apr-12,130,Supavitra Babul,675,Gautam Mehra,Bittoo Boss
Akshay Kumar,John Abraham,Rishi Kapoor,Randhir Kapoor,Mithun Chakraborty,Asin,Riteish Deshmukh,720000000,"Sajid Khan,Tushar Hiranandani",Sajid Khan,121900000,617500000,402400000,Comedy,1537600000,Sameer,Sajid - Wajid,Sajid Nadiadwala,Eros International,06-Apr-12,156,Sajid Nadiadwala,2650,Farhad - Sajid,Housefull 2
Ajay Devgn,Kajal Aggarwal,Prakash Raj,Sonali Kulkarni,Sudhanshu Pandey,Sachin Khedekar,Ashok Saraf,410000000,Yunus Sajawal,Rohit Shetty,87600000,492900000,297300000,Action,1358300000,Swanand Kirkire,Ajay - Atul,NA,Reliance Entertainment,22-Jul-11,144,Hari,2050,Farhad - Sajid,Singham
Mithun Chakraborty,Ajay Devgn,Kareena Kapoor,Arshad Warsi,Tusshar Kapoor,Shreyas Talpade,Kunal Khemu,500000000,Yunus Sajawal,Rohit Shetty,83600000,626100000,348500000,Comedy,1491200000,Kumaar,Pritam,Dillion Mehta,Shree Ashtavinayak Cinevision Ltd.,05-Nov-10,141,Yunus Sajawal,1750,Farhad - Sajid,Golmaal 3
Vidya Balan,Nawazuddin Siddiqui,Parambrata Chatterjee,Darshan Jariwala,Dhritiman Chatterjee,Indraneil Sengupta,Masood Akhtar,200000000,"Suresh Nair,Sujoy Ghosh,Nikhal Vyas",Sujoy Ghosh,29100000,237900000,133600000,Thriller,789600000,"Sandeep Srivastava,Anvita Dutt,Vishal Daldani,Clinton Cerejo",Vishal - Shekhar,"Sujoy Ghosh,Kushal Gada",Boundscript Motion Pictures Pvt. Ltd.,09-Mar-12,122,"Advaita Kala,Sujoy Ghosh",1100,Ritesh Shah,Kahaani
Kareena Kapoor,Imran Khan,Boman Irani,Ratna Pathak,Ram Kapoor,NA,NA,320000000,"Shakun Batra,Ayesha DeVitre",Shakun Batra,52700000,306800000,202600000,Love Story,543800000,Amitabh Bhattacharya,Amit Trivedi,"Karan Johar,Hiroo Johar",Dharma Productions Pvt. Ltd.,10-Feb-12,110,"Shakun Batra,Ayesha DeVitre",1250,"Ayesha DeVitre,Shakun Batra",Ek Main Aur Ekk Tu
Vinod Khanna,Bobby Deol,Abhishek Bachchan,Bipasha Basu,Sonam Kapoor,Neil Nitin Mukesh,Sikander Kher,550000000,"Rohit Jugraj,Sudip Sharma",Abbas - Mustan,46300000,215200000,145800000,Action,405800000,Ashish Pandit,Pritam,NA,Burmawala Bros,06-Jan-12,166,"Nikhat Bhatty,Bhaskar Hazarika,Sourabh Ratnu",1900,Sudip Sharma,Players
Ayushman Khurana,Yami Gautam,Annu Kapoor,Dolly Ahluwalia,Kamlesh Gill,NA,NA,100000000,Juhi Chaturvedi,Shoojit Sircar,19700000,141700000,82300000,Comedy,550200000,"Ayushman Khurana,Juhi Chaturvedi,Rochak Kohli,Kusam Verma,Swanand Kirkire,Akshay Verma","Rochak Kohli,Abhishek - Akshay,Ayushman Khurana","John Abraham,Sunil Lulla,Ronnie Lahiri",Eros International,20-Apr-12,122,Juhi Chaturvedi,575,Juhi Chaturvedi,Vicky Donor
Paoli Dam,Gulshan Devaiya,Nikhil Dwivedi,Gopal Singh,"

",NA,NA,90000000,Vikram Bhatt,Vivek Agnihotri,20700000,96000000,60500000,Thriller,164300000,"Shabbir Ahmed,Kumaar",Harshit Saxena,NA,BVG Films,20-Apr-12,119,Vikram Bhatt,1100,Rohit Malhotra,Hate Story
Riteish Deshmukh,Genelia D'Souza,Om Puri,Tinnu Anand,Smita Jaykar,NA,NA,140000000,Dhieya Sandhu,Mandeep Kumar,17400000,117800000,71700000,Rom - Com,264400000,"Mayur Puri,Priya Panchal",Sachin - Jigar,"Renu Taurani,Kumar S. Taurani",Tips Industries Pvt. Ltd.,24-Feb-12,132,Dhieya Sandhu,1200,Dhieya Sandhu,Tere Naal Love Ho Gaya
R. Madhavan,Bipasha Basu,Omi Vadiya,Dipannita Sharma,Mrinalini Sharma,Milind Soman,Helen,210000000,Ashwini Chaudhary,Ashwini Chaudhary,15100000,81600000,57900000,Comedy,131200000,"Shabbir Ahmed,Irshad Kamil",Salim - Sulaiman,Rajesh Rajilal,Prasar Visions Pvt. Ltd.,24-Feb-12,134,Ashwini Chaudhary,1000,Sanyukta Chawla,Jodi Breakers
Irrfan Khan,Mahie Gill,NA,NA,NA,NA,NA,70000000,"Tigmanshu Dhulia,Sanjay Chauhan",Tigmanshu Dhulia,6500000,65400000,38400000,Drama,196800000,NA,Abhishek Ray,Ronnie Screwvala,UTV Motion Pictures,02-Mar-12,135,"Tigmanshu Dhulia,Sanjay Chauhan",300,"Tigmanshu Dhulia,Sanjay Chauhan",Paan Singh Tomar
Saif Ali Khan,Kareena Kapoor,Prem Chopra,Gulshan Grover,Shahbaaz Khan,Ram Kapoor,Ravi Kissen,600000000,"Sriram Raghavan,Arijit Biswas",Sriram Raghavan,87200000,360800000,255300000,Thriller,596800000,"Neelish Misra,Amitabh Bhattacharya",Pritam,"Saif Ali Khan,Dinesh Vijan",Eros International,23-Mar-12,161,"Arijit Biswas,Sriram Raghavan",2200,"Dhirendra Dwivedi,Arijit Biswas,Sriram Raghavan,Pooja Ladha Surti",Agent Vinod
Ali Zafar,Aditi Rao Hydari,Dalip Tahil,NA,NA,NA,NA,105000000,Anu Menon,Anu Menon,10000000,55900000,37100000,Love Story,86400000,Ali Zafar,Ali Zafar,"Goldie Behl,Koyal",Fox Star Studio India Pvt. Ltd.,02-Mar-12,101,Anu Menon,550,"Anu Menon,Ritu Bhatia",London Paris New York
Prateik Babbar,Amy Jackson,Sachin Khedekar,Manu Rishi Chadha,NA,NA,NA,140000000,Gautham Menon,Gautham Menon,9600000,52700000,34800000,Love Story,76200000,Javed Akhtar,A.R. Rehman,Gautham Menon,Fox Star Studio India Pvt. Ltd.,17-Feb-12,139,Gautham Menon,600,Manu Rishi Chadha,Ekk Deewana Tha
Emraan Hashmi,Randeep Hooda,Esha Gupta,Manish Chaudhary,NA,NA,NA,200000000,Shagufta Rafique,Kunal Deshmukh,81700000,341200000,237400000,Thriller,584800000,"Sanjay Masoom,Sayeed Quadri,Mayur Puri",Pritam,"Mukesh Bhatt,Mahesh Bhatt",Fox Star Studio India Pvt. Ltd.,04-May-12,138,Shagufta Rafique,2050,Sanjay Masoom,Jannat 2
Anil Kapoor,Ajay Devgn,Kangana Ranaut,Zayed Khan,Sameera Reddy,Boman Irani,NA,520000000,Robin Bhatt,Priyadarshan,33300000,145900000,104400000,Thriller,216400000,"Shabbir Ahmed,Jalees Sherwani",Sajid - Wajid,Ratan Jain,Eros International,27-Apr-12,141,"Robin Bhatt,Aditya Dhar",1950,Aditya Dhar,Tezz
Kunal Khemu,Amrita Puri,Manish Chaudhary,Shekhar Shukla,"

",NA,NA,90000000,Upendra Sidhaye,Vishal Mahadkar,17100000,80300000,52100000,Thriller,116800000,"Kumaar,Sayeed Quadri","Pranay Rijia,Sangeet - Siddharth,Jeet Ganguly",Mahesh Bhatt,Viacom 18 Motion Pictures,30-Mar-12,113,Vishal Mahadkar,1150,Sanjay Masoom,Blood Money
Tusshar Kapoor,Kulraj Randhawa,Anupam Kher,Om Puri,Anita Raj,Farida Jalal,Mukul Dev,125000000,"Nishant Hada,Amit Masurkar",Samir Karnik,8000000,41100000,24200000,Comedy,66200000,Sandeep Srivastava,"Sandesh Shandilya,Shiv - Hari,Abhishek Ray,RDB",Samir Karnik,Top Angle Productions,09-Mar-12,134,Babaji,725,"Nishant Hada,Amit Masurkar",Chaar Din Ki Chandni
Shiney Ahuja,Sayali Bhagat,Tej Sapru,Deep Raj Rana,"

",NA,NA,90000000,Puja Jatinder Bedi,Puja Jatinder Bedi,11200000,53700000,35100000,Horror,94400000,"Kumaar,A.M. Turaz,Sandeep Nath",Toshi - Sharib,Bharat Shah,Mega Bollywood Pvt.Ltd.,13-Jan-12,116,Puja Jatinder Bedi,800,Puja Jatinder Bedi,Ghost
